Time_ms,Time_s,first_temp_avg_C,first_temp_min_C,first_temp_max_C,first_pstat_avg_hPa,first_pstat_min_hPa,first_pstat_max_hPa,first_hum_avg_pct,first_hum_min_pct,first_hum_max_pct,first_rho_avg,first_rho_min,first_rho_max,second_temp_avg_C,second_temp_min_C,second_temp_max_C,second_pstat_avg_hPa,second_pstat_min_hPa,second_pstat_max_hPa,second_hum_avg_pct,second_hum_min_pct,second_hum_max_pct,second_rho_avg,second_rho_min,second_rho_max,evt1_t_s,evt1_snr_dB,evt2_t_s,evt2_snr_dB,evt3_t_s,evt3_snr_dB,evt4_t_s,evt4_snr_dB,evt5_t_s,evt5_snr_dB
49366,49.366,23,23,23,946,946,946,24.5,24,25,1.05,1.05,1.05,0,0,0,900,900,900,0,0,0,1.05,1.05,1.05,0,4.059999999999999,0,22.6,0,23.7,,,,
52979,52.979,-15,-15,-15,900,900,900,28,28,28,1.05,1.05,1.05,0,0,0,900,900,900,0,0,0,1.05,1.05,1.05,,,,,,,,,,
68266,68.266,-15,-15,-15,900,900,900,24.5,22.5,25.5,1.05,1.05,1.05,0,0,0,900,900,900,0,0,0,1.05,1.05,1.05,0,9.879999999999999,0,23.83,0,9.469999999999999,0,28.89,0,18.07
74727,74.727,-15,-15,-15,900,900,900,26.5,26.5,26.5,1.05,1.05,1.05,0,0,0,900,900,900,0,0,0,1.05,1.05,1.05,0,0.7800000000000011,0,8.219999999999999,0,14.62,0,16.92,0,29.41
74810,74.81,23,23,23,946,946,946,24,24,24,1.05,1.05,1.05,23,23,23,946,946,946,24,24,24,1.05,1.05,1.05,0,14.13,0,34.03,0,18.47,,,,
80764,80.764,23.6,23.6,23.6,946,946,946,22,22,22,1.05,1.05,1.054,23.6,23.6,23.6,946,946,946,22,22,22,1.05,1.05,1.065,0,16.49,0,30.23,0,26.27,0,20.51,0,25.18
82505,82.505,21.6,20.1,36.6,900,820,907.5,22.5,22.5,23,1.05,1.05,1.05,20.2,20.2,20.2,900,900,900,24.5,23,25.5,1.05,1.05,1.05,0,22.19,0,31.6,0,27.36,0,33.6,0,15.53
100255,100.255,23.2,23.2,23.2,946,946,946,23.5,23.5,23.5,1.05,1.05,1.05,23.2,23.2,23.2,946,946,946,23.5,23.5,23.5,1.05,1.05,1.05,,,,,,,,,,
108587,108.587,23.6,23.6,23.6,946,946,946,22,21.5,22,1.05,1.048,1.07,23.6,23.6,23.6,946,946,946,22,22,22,1.05,1.05,1.055,0,11.13,0,9.25,0,13.06,,,,
110328,110.328,20.2,20.2,20.2,900,900,900,25,24,26,1.05,1.05,1.05,20.2,20.2,20.2,900,900,900,24,24,24,1.05,1.05,1.05,0,10.44,0,9.05,0,25.02,0,21.82,0,20.91
